primary_fabric,secondary_fabric,cmt,embellishments,trims,compliance,quantity,rejection_factor,markup_pct,base_cost,material_ratio,labor_intensity,embellishment_complexity,order_scale,formula_per_piece,actual_per_piece,formula_total,actual_total
194.77,32.78,129.32,8.38,33.06,32.3,1495,1.144,24.9,430.61,0.5284,0.3003,0.0195,7.3106,615.28,625.45,919843.12,935049.56
31.04,24.71,63.94,2.35,15.8,9.65,9729,1.123,12.2,147.49,0.378,0.4335,0.0159,9.183,185.84,197.53,1808020.67,1921739.08
306.17,92.07,63.62,9.56,19.57,21.27,257,1.056,31.0,512.26,0.7774,0.1242,0.0187,5.553,708.64,746.84,182120.48,191936.91
257.45,50.28,80.57,2.57,16.71,16.17,9134,1.111,22.7,423.75,0.7262,0.1901,0.0061,9.1199,577.65,577.88,5276298.29,5278398.52
346.37,69.98,26.99,62.84,24.06,5.76,901,1.063,26.4,536.0,0.7768,0.0504,0.1172,6.8046,720.19,747.11,648888.26,673150.25
182.82,38.38,105.6,55.2,37.15,33.74,8789,1.006,24.4,452.89,0.4884,0.2332,0.1219,9.0814,566.78,567.57,4981390.14,4988350.32
320.73,61.85,35.53,52.6,30.77,19.02,9347,1.119,39.4,520.5,0.735,0.0683,0.1011,9.1429,811.92,809.47,7589022.44,7566152.07
169.63,37.28,83.08,60.96,34.39,11.1,5108,1.104,26.8,396.44,0.5219,0.2096,0.1538,8.5388,554.97,582.34,2834762.53,2974581.7
88.99,43.94,57.65,22.1,21.81,37.01,7304,1.032,43.2,271.5,0.4896,0.2123,0.0814,8.8963,401.23,413.9,2930578.19,3023135.22
234.79,69.68,80.41,12.47,44.35,17.38,7464,1.064,17.6,459.08,0.6632,0.1752,0.0272,8.918,574.43,600.71,4287547.59,4483669.72
78.57,86.26,131.76,56.35,53.74,10.7,8156,1.08,10.7,417.38,0.3949,0.3157,0.135,9.0066,499.0,499.75,4069867.1,4075995.64
233.49,20.1,116.36,49.7,9.66,28.76,2379,1.104,20.2,458.07,0.5536,0.254,0.1085,7.7749,607.86,615.61,1446105.02,1464547.06
105.76,2.28,113.22,21.37,53.33,3.16,10000,1.06,15.9,299.12,0.3612,0.3785,0.0714,9.2104,367.48,382.43,3674808.85,3824284.93
162.96,94.38,124.14,51.55,51.26,34.59,1778,1.15,20.9,518.88,0.496,0.2392,0.0993,7.4838,721.42,757.53,1282693.31,1346883.94
222.56,107.56,81.04,7.95,20.32,38.95,4127,1.088,32.5,478.38,0.6901,0.1694,0.0166,8.3255,689.63,714.67,2846113.77,2949436.05
41.76,24.58,16.74,68.65,28.29,20.33,8113,1.022,41.2,200.35,0.3311,0.0836,0.3427,9.0013,289.12,304.66,2345613.3,2471719.89
131.7,96.07,151.05,18.91,38.27,34.83,1509,1.123,23.6,470.83,0.4838,0.3208,0.0402,7.3199,653.53,680.4,986169.56,1026718.0
29.71,79.38,137.79,27.32,36.81,26.33,842,1.099,36.4,337.34,0.3234,0.4085,0.081,6.737,505.68,521.6,425786.61,439189.2
67.66,65.18,169.52,74.76,23.98,9.28,5526,1.143,14.9,410.38,0.3237,0.4131,0.1822,8.6174,538.95,574.06,2978264.92,3172265.64
62.92,29.63,146.34,0.36,57.64,22.6,3847,1.15,39.2,319.49,0.2897,0.458,0.0011,8.2553,511.44,521.84,1967508.11,2007530.46
30.6,2.84,121.43,31.82,22.06,28.38,2577,1.02,38.1,237.13,0.141,0.5121,0.1342,7.8548,334.03,363.54,860785.16,936847.21
153.57,25.85,20.34,38.92,47.98,35.48,6656,1.036,32.7,322.14,0.557,0.0631,0.1208,8.8034,442.87,441.73,2947736.41,2940181.07
202.12,31.77,43.13,72.1,53.64,24.42,9157,1.092,28.6,427.18,0.5475,0.101,0.1688,9.1224,599.89,599.58,5493229.36,5490365.06
136.18,69.22,164.19,25.69,43.87,20.45,8642,1.076,14.8,459.6,0.4469,0.3572,0.0559,9.0645,567.72,566.95,4906236.07,4899611.39
125.94,101.4,23.21,13.38,38.52,3.36,7960,1.065,24.6,305.81,0.7434,0.0759,0.0438,8.9823,405.81,418.72,3230222.22,3333029.19
335.29,85.04,45.55,70.75,50.5,33.59,9906,1.128,34.6,620.72,0.6772,0.0734,0.114,9.201,942.43,924.39,9335728.69,9156999.96
306.64,16.4,112.6,77.61,55.63,7.62,1244,1.141,16.5,576.5,0.5603,0.1953,0.1346,7.1269,766.32,837.33,953303.66,1041641.14
43.08,89.01,105.28,78.7,11.19,18.37,7025,1.146,9.5,345.63,0.3822,0.3046,0.2277,8.8574,433.72,458.97,3046888.04,3224281.79
346.81,112.78,88.42,10.92,56.0,36.95,5544,1.139,14.7,651.88,0.705,0.1356,0.0168,8.6207,851.64,902.06,4721478.54,5001046.1
297.87,0.78,53.39,75.49,48.22,21.15,6375,1.012,31.4,496.9,0.601,0.1074,0.1519,8.7603,660.76,683.2,4212355.96,4355412.0
337.63,98.52,19.78,14.44,52.18,13.4,7573,1.044,15.3,535.95,0.8138,0.0369,0.0269,8.9325,645.14,648.25,4885646.47,4909205.36
34.26,94.71,26.34,36.29,40.78,6.7,9111,1.05,13.7,239.08,0.5394,0.1102,0.1518,9.1173,285.43,293.95,2600513.17,2678173.5
117.9,6.66,134.18,12.18,10.61,3.73,4258,1.03,26.1,285.26,0.4367,0.4704,0.0427,8.3568,370.5,383.54,1577607.08,1633109.97
290.54,34.3,69.87,46.38,23.06,17.18,9651,1.046,15.5,481.33,0.6749,0.1452,0.0964,9.1749,581.51,607.76,5612145.41,5865506.5
47.73,97.84,120.76,66.66,56.55,37.82,1027,1.107,15.6,427.36,0.3406,0.2826,0.156,6.9354,546.89,608.9,561655.18,625339.86
252.97,49.73,135.59,11.75,48.02,36.97,6716,1.081,13.0,535.03,0.5658,0.2534,0.022,8.8124,653.56,657.48,4389276.7,4415636.29
266.55,102.18,83.58,15.3,33.13,23.51,162,1.049,23.8,524.25,0.7033,0.1594,0.0292,5.0938,680.82,750.77,110293.42,121623.93
160.82,105.73,18.59,14.91,19.8,8.67,6143,1.017,44.3,328.52,0.8114,0.0566,0.0454,8.7232,482.11,503.59,2961621.9,3093564.52
277.75,19.48,63.91,44.57,19.6,34.56,9335,1.127,20.8,459.87,0.6463,0.139,0.0969,9.1416,626.07,633.55,5844404.3,5914218.76
179.08,66.49,28.59,42.36,8.56,15.36,4415,1.031,9.0,340.44,0.7213,0.084,0.1244,8.393,382.58,401.56,1689104.24,1772907.5
324.76,39.96,89.26,19.08,13.52,25.6,1586,1.078,10.5,512.18,0.7121,0.1743,0.0373,7.3696,610.1,637.81,967624.46,1011572.54
104.21,113.28,72.11,22.58,41.76,18.43,437,1.107,36.1,372.37,0.5841,0.1937,0.0606,6.0822,561.02,599.58,245166.92,262016.22
41.98,2.65,83.72,15.06,17.38,34.53,9367,1.02,20.6,195.32,0.2285,0.4286,0.0771,9.1451,240.27,253.01,2250581.35,2369945.62
180.04,11.27,47.13,18.05,53.6,38.61,5742,1.067,24.5,348.7,0.5486,0.1352,0.0518,8.6557,463.22,490.46,2659799.54,2816233.37
198.88,20.8,158.77,13.05,59.84,9.34,127,1.126,43.0,460.68,0.4769,0.3446,0.0283,4.852,741.78,778.34,94205.77,98849.21
213.46,94.17,74.46,5.13,22.04,27.17,160,1.14,32.5,436.43,0.7049,0.1706,0.0118,5.0814,659.23,706.57,105476.4,113051.46
241.52,88.42,87.88,66.91,18.57,11.13,6476,1.096,27.2,514.43,0.6414,0.1708,0.1301,8.776,717.17,700.07,4644412.58,4533641.78
96.91,55.43,160.92,9.92,28.81,22.06,9367,1.119,43.7,374.05,0.4073,0.4302,0.0265,9.1451,601.47,631.8,5634002.48,5918053.01
151.68,83.78,169.56,34.17,11.78,35.48,5426,1.046,23.1,486.45,0.484,0.3486,0.0702,8.5991,626.37,648.94,3398660.11,3521130.21
223.29,33.2,17.68,26.45,29.43,30.84,9000,1.094,32.2,360.89,0.7107,0.049,0.0733,9.1051,521.94,527.76,4697492.93,4749877.78
73.44,61.82,71.88,44.46,14.54,31.3,1525,1.085,43.6,297.44,0.4547,0.2417,0.1495,7.3304,463.43,497.81,706729.78,759157.83
267.15,22.53,150.58,49.53,36.67,26.18,6673,1.146,10.7,552.64,0.5242,0.2725,0.0896,8.806,701.09,733.08,4678381.99,4891848.75
298.73,3.02,53.09,50.89,44.64,34.76,4836,1.131,31.5,485.13,0.622,0.1094,0.1049,8.484,721.52,746.94,3489255.58,3612183.02
87.37,88.1,159.92,7.62,19.51,26.81,7507,1.018,34.7,389.33,0.4507,0.4108,0.0196,8.9237,533.87,559.41,4007741.11,4199485.9
188.65,75.26,175.78,55.93,39.97,7.23,9884,1.042,29.7,542.82,0.4862,0.3238,0.103,9.1988,733.61,774.67,7250972.74,7656824.92
292.81,93.91,103.6,2.39,41.81,34.51,2384,1.035,34.1,569.03,0.6796,0.1821,0.0042,7.777,789.78,825.89,1882827.54,1968917.42
316.49,118.6,52.9,64.39,13.78,23.95,2005,1.016,25.9,590.11,0.7373,0.0896,0.1091,7.6039,754.84,792.19,1513445.51,1588334.72
45.07,33.04,53.95,59.04,18.2,24.76,3086,1.059,31.8,234.06,0.3337,0.2305,0.2522,8.035,326.69,352.0,1008171.68,1086268.38
179.36,109.47,160.25,53.21,46.13,27.41,1740,1.078,7.1,575.83,0.5016,0.2783,0.0924,7.4622,664.82,716.06,1156782.65,1245941.08
196.8,1.5,60.6,54.63,8.08,4.46,7700,1.053,29.4,326.07,0.6082,0.1858,0.1675,8.9491,444.3,450.55,3421087.77,3469224.74
174.47,20.12,47.79,12.46,52.83,14.01,5918,1.137,35.2,321.68,0.6049,0.1486,0.0387,8.6859,494.49,495.75,2926416.77,2933824.75
121.94,104.34,81.59,6.98,57.27,16.08,4336,1.101,18.9,388.2,0.5829,0.2102,0.018,8.3749,508.19,543.32,2203504.68,2355849.16
92.08,47.16,139.4,54.43,8.09,34.94,8462,1.008,24.5,376.1,0.3702,0.3706,0.1447,9.0435,471.99,464.62,3993983.24,3931604.24
31.35,112.1,161.28,6.01,41.47,2.77,9720,1.15,36.7,354.98,0.4041,0.4543,0.0169,9.182,558.05,556.33,5424210.12,5407547.74
242.44,87.86,19.78,58.86,6.17,6.3,511,1.044,38.3,421.41,0.7838,0.0469,0.1397,6.2383,608.45,635.67,310919.83,324827.24
121.57,117.98,17.4,4.66,59.05,21.89,6807,1.069,23.0,342.55,0.6993,0.0508,0.0136,8.8259,450.41,444.88,3065932.15,3028302.62
314.82,38.45,15.16,32.63,27.13,37.27,6512,1.12,40.4,465.46,0.759,0.0326,0.0701,8.7816,731.93,765.23,4766305.63,4983176.27
132.28,44.69,144.98,3.19,6.24,17.85,4483,1.099,42.3,349.23,0.5067,0.4151,0.0091,8.4083,546.15,579.93,2448402.84,2599827.24
67.19,119.7,68.56,3.29,31.66,28.69,3313,1.025,9.1,319.09,0.5857,0.2149,0.0103,8.1059,356.83,363.75,1182179.01,1205101.05
30.18,117.72,162.43,30.59,32.08,13.6,1625,1.085,34.1,386.6,0.3826,0.4202,0.0791,7.3939,562.5,618.96,914057.95,1005803.15
222.05,28.84,90.27,78.21,6.86,35.51,709,1.092,6.4,461.74,0.5434,0.1955,0.1694,6.5653,536.49,592.71,380371.53,420231.67
122.7,100.07,83.27,8.32,14.08,21.44,9717,1.036,12.7,349.88,0.6367,0.238,0.0238,9.1817,408.51,406.35,3969492.56,3948546.98
82.54,39.58,68.35,37.85,16.81,26.9,3155,1.035,33.2,272.03,0.4489,0.2513,0.1391,8.0571,375.03,401.17,1183207.03,1265692.12
150.51,63.03,127.72,30.16,59.42,24.92,665,1.001,19.9,455.76,0.4685,0.2802,0.0662,6.5013,547.0,568.72,363756.79,378201.67
212.75,4.32,17.32,10.2,38.35,15.98,5125,1.113,16.9,298.92,0.7262,0.0579,0.0341,8.5421,388.92,382.92,1993235.07,1962474.67
41.29,0.2,168.24,72.69,12.7,36.95,1096,1.071,16.8,332.07,0.1249,0.5066,0.2189,7.0003,415.4,451.45,455273.64,494792.47
