total_area,pattern_area,num_items,utilization_ratio,aspect_ratio_fabric,aspect_ratio_pattern,density,fabric_length,fabric_width,pattern_length,pattern_width,waste_percentage
44.2625,2.1816,12,0.5915,28.328,2.1386,0.2711,35.41,1.25,2.16,1.01,42.33
128.828,0.3914,252,0.7656,43.5465,2.7105,1.9561,74.9,1.72,1.03,0.38,22.51
210.3192,1.5244,128,0.9277,180.3148,1.4369,0.6086,194.74,1.08,1.48,1.03,5.63
222.838,0.3478,174,0.2716,46.0409,0.3936,0.7808,101.29,2.2,0.37,0.94,73.91
423.276,0.84,142,0.2818,53.9893,0.2976,0.3355,151.17,2.8,0.5,1.68,70.76
146.5483,2.574,32,0.5621,37.7614,0.7944,0.2184,74.39,1.97,1.43,1.8,42.76
315.0576,0.7636,125,0.303,101.7102,0.2771,0.3968,179.01,1.76,0.46,1.66,70.47
107.5743,0.1696,347,0.5471,15.0899,1.6562,3.2257,40.29,2.67,0.53,0.32,44.07
357.1345,0.8556,132,0.3162,71.8161,1.7971,0.3696,160.15,2.23,1.24,0.69,68.27
384.4368,1.276,82,0.2722,82.3981,0.9483,0.2133,177.98,2.16,1.1,1.16,73.87
144.1256,1.005,81,0.5648,21.821,4.02,0.562,56.08,2.57,2.01,0.5,42.6
136.2375,0.5162,142,0.538,123.5714,6.1379,1.0423,129.75,1.05,1.78,0.29,45.42
47.4579,2.1114,11,0.4894,8.037,0.902,0.2318,19.53,2.43,1.38,1.53,49.65
281.7036,1.8573,69,0.4549,120.3399,1.2276,0.2449,184.12,1.53,1.51,1.23,53.93
186.0724,0.6,177,0.5707,25.9067,1.0667,0.9512,69.43,2.68,0.8,0.75,42.34
534.0096,2.2879,146,0.6255,64.3819,0.8204,0.2734,185.42,2.88,1.37,1.67,36.35
70.0077,1.095,15,0.2346,56.8198,1.9467,0.2143,63.07,1.11,1.46,0.75,77.27
81.042,3.6844,14,0.6365,33.3013,1.6159,0.1727,51.95,1.56,2.44,1.51,35.63
236.8035,1.131,73,0.3487,129.9333,0.6692,0.3083,175.41,1.35,0.87,1.3,66.28
401.6562,0.7644,248,0.472,91.9522,5.0256,0.6174,192.18,2.09,1.96,0.39,51.88
130.0474,1.89,61,0.8865,18.3797,0.84,0.4691,48.89,2.66,1.26,1.5,12.5
30.2436,1.1055,19,0.6945,4.1181,3.6545,0.6282,11.16,2.71,2.01,0.55,29.35
81.7125,0.768,90,0.8459,52.296,0.5333,1.1014,65.37,1.25,0.64,1.2,14.06
168.5775,0.4836,308,0.8836,22.619,5.0323,1.8271,61.75,2.73,1.56,0.31,12.3
55.2024,1.3943,11,0.2778,31.6818,2.6164,0.1993,41.82,1.32,1.91,0.73,72.5
236.1756,0.7313,236,0.7308,62.7526,0.6893,0.9993,121.74,1.94,0.71,1.03,27.64
255.45,1.3446,120,0.6316,40.872,4.6111,0.4698,102.18,2.5,2.49,0.54,36.07
459.7684,3.7128,92,0.7429,81.1681,1.5256,0.2001,193.18,2.38,2.38,1.56,26.07
253.8913,2.5338,94,0.9381,41.6154,1.6748,0.3702,102.79,2.47,2.06,1.23,4.59
344.862,0.904,303,0.7943,53.0353,5.65,0.8786,135.24,2.55,2.26,0.4,21.75
59.3898,2.7724,5,0.2334,17.1667,2.0603,0.0842,31.93,1.86,2.39,1.16,77.89
365.5175,1.216,155,0.5157,42.5768,0.5263,0.4241,124.75,2.93,0.8,1.52,48.63
318.8499,3.5659,32,0.3579,55.8201,1.2485,0.1004,133.41,2.39,2.11,1.69,65.65
198.122,1.121,140,0.7921,37.4522,1.2421,0.7066,86.14,2.3,1.18,0.95,21.33
41.5508,1.3936,11,0.3689,34.9725,1.2885,0.2647,38.12,1.09,1.34,1.04,61.77
361.2704,0.9804,172,0.4668,48.8309,0.3314,0.4761,132.82,2.72,0.57,1.72,51.73
187.65,2.077,64,0.7084,97.1223,1.1567,0.3411,135.0,1.39,1.55,1.3399999999999999,30.52
295.0198,0.486,425,0.7001,79.2021,0.6,1.4406,152.86,1.93,0.54,0.9,31.64
31.004,0.6256,16,0.3228,23.4435,0.7391,0.5161,26.96,1.15,0.68,0.92,66.71
100.3666,0.7875,48,0.3766,78.6018,0.7143,0.4782,88.82,1.13,0.75,1.05,61.13
35.2824,1.6524,10,0.4683,10.5355,1.5882,0.2834,19.28,1.83,1.62,1.02,52.68
78.2384,0.6958,53,0.4713,17.0841,2.898,0.6774,36.56,2.14,1.42,0.49,54.69
166.1337,0.3402,141,0.2887,134.8378,1.9286,0.8487,149.67,1.11,0.81,0.42,70.04
423.1257,1.0971,197,0.5108,68.245,0.434,0.4656,169.93,2.49,0.69,1.59,47.6
